log_data_id,vin,seq,timestamp_IST,trigger_timestamp_IST,trigger_source_event
2219,MA1VP271BR6J81417,-19,38:17.0,38:36.0,TRIG_AES_WARNING
2220,MA1VP271BR6J81417,-18.9,56:07.0,56:26.0,TRIG_AEB_WARNING_MSG
2220,MA1VP271BR6J81417,-18.8,56:07.0,56:26.0,TRIG_AEB_WARNING_MSG
2220,MA1VP271BR6J81417,-18.7,56:07.0,56:26.0,TRIG_AEB_WARNING_MSG
2220,MA1VP271BR6J81417,-18.6,56:07.0,56:26.0,TRIG_AEB_WARNING_MSG
2220,MA1VP271BR6J81417,-18.5,56:07.0,56:26.0,TRIG_AEB_WARNING_MSG
2220,MA1VP271BR6J81417,-18.4,56:07.0,56:26.0,TRIG_AEB_WARNING_MSG
2220,MA1VP271BR6J81417,-18.4,56:08.0,56:26.0,TRIG_AEB_WARNING_MSG
2220,MA1VP271BR6J81417,-18.3,56:08.0,56:26.0,TRIG_AEB_WARNING_MSG
2220,MA1VP271BR6J81417,-18.2,56:08.0,56:26.0,TRIG_AEB_WARNING_MSG
2220,MA1VP271BR6J81417,-18.1,56:08.0,56:26.0,TRIG_AEB_WARNING_MSG
2220,MA1VP271BR6J81417,-18,56:08.0,56:26.0,TRIG_AEB_WARNING_MSG
2220,MA1VP271BR6J81417,-18.9,05:49.0,06:08.0,TRIG_AES_WARNING
2220,MA1VP271BR6J81417,-18.8,05:50.0,06:08.0,TRIG_AES_WARNING
2220,MA1VP271BR6J81417,-18.7,05:50.0,06:08.0,TRIG_AES_WARNING
2220,MA1VP271BR6J81417,-18.6,05:50.0,06:08.0,TRIG_AES_WARNING
2220,MA1VP271BR6J81417,-18.5,05:50.0,06:08.0,TRIG_AES_WARNING
2220,MA1VP271BR6J81417,-18.4,05:50.0,06:08.0,TRIG_AES_WARNING
2220,MA1VP271BR6J81417,-18.3,05:50.0,06:08.0,TRIG_AES_WARNING
2220,MA1VP271BR6J81417,-18.2,05:50.0,06:08.0,TRIG_AES_WARNING
2220,MA1VP271BR6J81417,-18.1,05:50.0,06:08.0,TRIG_AES_WARNING
2220,MA1VP271BR6J81417,-18,05:50.0,06:08.0,TRIG_AES_WARNING
2220,MA1VP271BR6J81417,-18.9,38:17.0,38:36.0,TRIG_AES_WARNING
2220,MA1VP271BR6J81417,-18.8,38:17.0,38:36.0,TRIG_AES_WARNING
2220,MA1VP271BR6J81417,-18.7,38:17.0,38:36.0,TRIG_AES_WARNING
2220,MA1VP271BR6J81417,-18.6,38:17.0,38:36.0,TRIG_AES_WARNING
2220,MA1VP271BR6J81417,-18.5,38:17.0,38:36.0,TRIG_AES_WARNING
2220,MA1VP271BR6J81417,-18.4,38:17.0,38:36.0,TRIG_AES_WARNING
2220,MA1VP271BR6J81417,-18.3,38:17.0,38:36.0,TRIG_AES_WARNING
2220,MA1VP271BR6J81417,-18.3,38:18.0,38:36.0,TRIG_AES_WARNING
