trigger_source_event,Signal,Max of Physical_Value,Average of Physical_Value,Min of Physical_Value
TRIG_AEB_WARNING_MSG,BSD_TTC_RISK_FLAG,2,0.00896861,0
TRIG_AEB_WARNING_MSG,BSD_USM_STS,1,0.986725664,0
TRIG_AEB_WARNING_MSG,BSD_WARNING_LEFT,0,0,0
TRIG_AEB_WARNING_MSG,BSD_WARNING_RIGHT,1,0.004484305,0
TRIG_AEB_WARNING_MSG,BSD_ZONE_RISK_FLAG,0,0,0
TRIG_AEB_WARNING_MSG,BSZ_FLAG,3,0.398305085,0
TRIG_AEB_WARNING_MSG,CABIN_HVAC_REQ_MBFM,0,0,0
TRIG_AEB_WARNING_MSG,CAR_START_WARNING,0,0,0
TRIG_AEB_WARNING_MSG,CCM_CUSTOM_DRV_MODE,0,0,0
TRIG_AEB_WARNING_MSG,CDP_ACTIVE,0,0,0
TRIG_AEB_WARNING_MSG,CHARGE_FLAP_STS,0,0,0
TRIG_AEB_WARNING_MSG,CHARGE_PLUG_STATUS,0,0,0
TRIG_AEB_WARNING_MSG,CHARGER_LOCK_STS,0,0,0
TRIG_AEB_WARNING_MSG,CLOCK_DATE,0,0,0
TRIG_AEB_WARNING_MSG,CLOCK_FORMAT,0,0,0
TRIG_AEB_WARNING_MSG,CLOCK_HOUR,0,0,0
TRIG_AEB_WARNING_MSG,CLOCK_MIN,0,0,0
TRIG_AEB_WARNING_MSG,CLOCK_MONTH,0,0,0
TRIG_AEB_WARNING_MSG,CLOCK_YEAR,2020,2020,2020
TRIG_AEB_WARNING_MSG,CONV_CRUISE_ACTIVE_STS,0,0,0
TRIG_AEB_WARNING_MSG,CRUISE_INHIBITION_REQ,1,0.054945055,0
TRIG_AEB_WARNING_MSG,CTRL_BRAKE_LIGHT,1,0.05027933,0
TRIG_AEB_WARNING_MSG,CVZ_FLAG,3,0.98015873,0
TRIG_AEB_WARNING_MSG,DBS_ACTIVE,1,0.044444444,0
TRIG_AEB_WARNING_MSG,DDD_ACTIVATION_STS,0,0,0
TRIG_AEB_WARNING_MSG,DDD_DEADBAND_COUNTER,0,0,0
TRIG_AEB_WARNING_MSG,DDD_DEADBAND_DETECTED,0,0,0
TRIG_AEB_WARNING_MSG,DDD_DEADBAND_INDEX,0,0,0
TRIG_AEB_WARNING_MSG,DDD_DEADBAND_STABLITY,0,0,0
TRIG_AEB_WARNING_MSG,DDD_DIAG_ENABLE,0,0,0
TRIG_AEB_WARNING_MSG,DDD_DROWSINESS_INDEX,0,0,0
TRIG_AEB_WARNING_MSG,DDD_DRV_CHANGE_DETECT,0,0,0
TRIG_AEB_WARNING_MSG,DDD_FATIGUE_STS,0,0,0
TRIG_AEB_WARNING_MSG,DDD_INDEX_VALID,0,0,0
TRIG_AEB_WARNING_MSG,DDD_SAS_VELOCITY,-100,-100,-100
TRIG_AEB_WARNING_MSG,DDD_SITUATIONAL_INDEX,0,0,0
TRIG_AEB_WARNING_MSG,DDD_STATE_ID,0,0,0
TRIG_AEB_WARNING_MSG,DDD_SW_VERSION,0,0,0
TRIG_AEB_WARNING_MSG,DLO_LANE_OFFSET,0,0,0
TRIG_AEB_WARNING_MSG,DOA_LEFT_WARN_IND,0,0,0
